"id","ident","type","name","continent","iso_country","iso_region","municipality","iata_code"
"26909","YBHM","medium_airport","Hamilton Island Airport","OC","AU","AU-QLD","Hamilton Island","HTI"
"26910","YBIE","medium_airport","Bedourie Airport","OC","AU","AU-QLD","-","BEU"
"26912","YBKE","medium_airport","Bourke Airport","OC","AU","AU-NSW","-","BRK"
"26913","YBKT","small_airport","Burketown Airport","OC","AU","AU-QLD","-","BUC"
"26915","YBLN","small_airport","Busselton Margaret River Regional Airport","OC","AU","AU-WA","Busselton","BQB"
"26917","YBMA","medium_airport","Mount Isa Airport","OC","AU","AU-QLD","Mount Isa","ISA"
"26919","YBMK","medium_airport","Mackay Airport","OC","AU","AU-QLD","Mackay","MKY"
"26920","YBNA","medium_airport","Ballina Byron Gateway Airport","OC","AU","AU-NSW","Ballina","BNK"
"29715","YBOI","small_airport","Boigu Airport","OC","AU","AU-QLD","-","GIC"
"26922","YBOK","medium_airport","Oakey Army Aviation Centre","OC","AU","AU-QLD","-","OKY"
"26923","YBOU","medium_airport","Boulia Airport","OC","AU","AU-QLD","-","BQL"
"336111","YBP","medium_airport","Yibin Wuliangye Airport","AS","CN","CN-51","Yibin (Cuiping)","YBP"
"26924","YBPN","medium_airport","Proserpine Whitsunday Coast Airport","OC","AU","AU-QLD","Proserpine","PPP"
"26925","YBRK","medium_airport","Rockhampton Airport","OC","AU","AU-QLD","Rockhampton","ROK"
"26927","YBRM","medium_airport","Broome International Airport","OC","AU","AU-WA","Broome","BME"
"26918","YBSU","medium_airport","Sunshine Coast Airport","OC","AU","AU-QLD","Maroochydore","MCY"
"26932","YBTH","medium_airport","Bathurst Airport","OC","AU","AU-NSW","Bathurst","BHS"
"26934","YBTL","medium_airport","Townsville Airport / RAAF Base Townsville","OC","AU","AU-QLD","Townsville","TSV"
"26935","YBTR","medium_airport","Blackwater Airport","OC","AU","AU-QLD","-","BLT"
"26936","YBUD","medium_airport","Bundaberg Airport","OC","AU","AU-QLD","Bundaberg","BDB"
"26939","YBWP","medium_airport","Weipa Airport","OC","AU","AU-QLD","Weipa","WEI"
"315119","YBWW","medium_airport","Toowoomba Wellcamp Airport","OC","AU","AU-QLD","Toowoomba","WTB"
"26941","YCAR","medium_airport","Carnarvon Airport","OC","AU","AU-WA","Carnarvon","CVQ"
"26943","YCBA","medium_airport","Cobar Airport","OC","AU","AU-NSW","-","CAZ"
"26946","YCBP","medium_airport","Coober Pedy Airport","OC","AU","AU-SA","Coober Pedy","CPD"
"27444","YCCT","small_airport","Coconut Island Airport","OC","AU","AU-QLD","-","CNC"
